packet_id,delivered,delay_ms
1,1,6474.78
2,1,1716.89
3,1,1113.06
4,1,341.778
5,1,1134.33
6,1,345.778
7,1,929.556
8,1,687.556
9,1,800.556
10,1,2327.17
11,1,2660.94
12,1,4417.61
13,1,2135.67
14,1,345.778
15,0,-1
16,1,2748.72
17,1,1801.89
18,0,-1
19,1,1200.83
20,1,1667.61
21,0,-1
22,1,683.556
23,1,2740.72
24,1,3074.5
25,1,867.056
26,1,1033.33
27,1,554.556
28,0,-1
29,1,341.778
30,1,1371.11
31,0,-1
32,1,687.556
33,1,1033.33
34,1,2363.06
35,0,-1
36,1,1280.61
37,1,4555.89
38,1,2219.44
39,0,-1
40,1,345.778
41,1,345.778
42,1,3412.28
43,1,1101.11
44,1,1013.33
45,1,1029.33
46,1,3492.06
47,1,1480.11
48,1,345.778
49,0,-1
50,1,687.556
51,1,1029.33
52,1,2619.72
53,1,1513.33
54,1,1760.67
55,0,-1
56,1,2891
57,0,-1
58,1,1159.61
59,0,-1
60,1,3700.83
61,0,-1
62,1,3250.06
63,1,3972.11
64,0,-1
65,1,1159.61
66,1,687.556
67,1,517.333
68,1,2369.72
69,1,5244.72
70,1,2853.78
71,1,2517.39
72,0,-1
73,0,-1
74,1,341.778
75,0,-1
76,1,1554.56
77,1,1930.89
78,1,2303.22
79,0,-1
80,0,-1
81,1,1300.56
82,1,687.556
83,0,-1
84,1,1243.39
85,1,997.389
86,1,1860.44
87,1,2454.83
88,0,-1
89,0,-1
90,0,-1
91,1,6125.06
92,0,-1
93,1,1268.67
94,1,3454.83
95,1,1738.06
96,1,341.778
97,1,1118.39
98,1,1723.44
99,1,3929.61
100,0,-1
101,1,3208.83
102,1,1029.33
103,0,-1
104,1,2085.22
105,1,1300.61
106,0,-1
107,1,4147.67
108,1,4059.89
109,0,-1
110,1,3472.11
111,1,2266
112,0,-1
113,0,-1
114,0,-1
115,1,4348.44
116,0,-1
117,1,2537.28
118,1,2408.28
119,0,-1
120,1,1352.44
121,1,1397.67
122,1,1957.5
123,1,683.556
124,0,-1
125,1,429.556
126,1,1388.33
127,0,-1
128,0,-1
129,0,-1
130,1,2746.06
131,0,-1
132,0,-1
133,0,-1
134,0,-1
135,0,-1
136,0,-1
137,0,-1
138,1,3413.61
139,1,909.667
140,1,345.778
141,1,2071.83
142,0,-1
143,0,-1
144,0,-1
145,1,683.556
146,1,1823.22
147,0,-1
148,0,-1
149,0,-1
150,1,3956.17
151,0,-1
152,0,-1
153,0,-1
154,0,-1
155,0,-1
156,0,-1
157,0,-1
158,0,-1
159,1,1175.56
160,0,-1
161,0,-1
162,0,-1
163,0,-1
165,1,2433.56
166,0,-1
167,1,550.556
168,0,-1
169,0,-1
170,0,-1
171,1,345.778
172,0,-1
173,1,2704.83
174,0,-1
175,0,-1
179,0,-1
180,0,-1
181,0,-1
182,0,-1
184,0,-1
1000001,0,-1
1000002,1,3264.67
1000003,0,-1
1000004,1,3059.89
1000005,0,-1
1000006,0,-1
1000007,1,3727.44
1000008,1,1009.33
1000009,0,-1
1000010,1,934.889
1000011,0,-1
1000012,1,1676.89
1000013,1,341.778
1000014,1,2726.11
1000015,1,345.778
1000016,1,2489.39
1000017,1,5601.11
1000018,1,3046.61
1000019,1,5872.39
1000020,0,-1
1000021,1,4332.5
1000022,0,-1
1000023,1,4050.56
1000024,1,3522.67
1000025,1,687.556
1000026,1,3114.44
1000027,1,888.333
1000028,0,-1
1000029,0,-1
1000030,1,341.778
1000031,1,6748.72
1000032,0,-1
1000033,1,1363.06
1000034,1,2121.06
1000035,0,-1
1000036,0,-1
1000037,0,-1
1000038,1,1234.11
1000039,1,3348.44
1000040,1,3598.44
1000041,0,-1
1000042,0,-1
1000043,0,-1
1000044,0,-1
1000045,1,4295.28
1000046,0,-1
1000047,0,-1
1000048,0,-1
1000049,1,759.333
1000050,1,1780.61
1000051,0,-1
1000052,0,-1
1000053,1,2659.61
1000054,1,2087.83
1000055,0,-1
1000056,1,2956.17
1000057,0,-1
1000058,1,973.5
1000059,0,-1
1000060,1,3352.44
1000061,1,1578.56
1000062,1,7295.28
1000063,1,1093.17
1000064,0,-1
1000065,1,2993.39
1000066,1,5897.67
1000067,0,-1
1000069,1,7566.56
1000070,1,1801.94
1000071,1,3315.22
1000072,0,-1
1000073,1,1184.89
1000074,0,-1
1000075,0,-1
1000076,1,1388.33
1000077,0,-1
1000078,1,7837.83
1000079,1,4771.33
1000080,1,2856.44
1000081,0,-1
1000082,0,-1
1000083,0,-1
1000084,1,3857.78
1000085,0,-1
1000086,0,-1
1000087,0,-1
1000088,0,-1
1000089,0,-1
1000090,0,-1
1000091,0,-1
1000092,0,-1
1000093,1,341.778
1000094,0,-1
1000095,1,3311.22
1000096,0,-1
1000097,1,804.556
1000098,0,-1
1000099,0,-1
1000100,0,-1
1000101,0,-1
1000102,1,1367.06
1000103,0,-1
1000104,1,1816.56
1000105,1,1033.33
1000106,0,-1
1000107,0,-1
1000108,0,-1
1000109,0,-1
1000110,1,1300.56
1000111,1,488.056
1000112,0,-1
1000113,0,-1
1000114,1,5063.89
1000115,1,3728.78
1000116,1,4412.33
1000117,1,2998.72
1000118,0,-1
1000119,0,-1
1000120,1,5668.94
1000121,0,-1
1000122,0,-1
1000123,1,3332.5
1000124,0,-1
1000125,1,2226.11
1000126,0,-1
1000127,0,-1
1000128,0,-1
1000129,0,-1
1000130,1,4938.89
1000131,0,-1
1000132,1,345.778
1000133,0,-1
1000134,0,-1
1000135,0,-1
1000136,0,-1
1000137,1,2961.5
1000138,0,-1
1000140,0,-1
1000141,1,3900.33
1000142,1,1824.5
1000143,1,5481.44
1000144,0,-1
1000145,0,-1
1000146,0,-1
1000147,0,-1
1000150,0,-1
1000151,1,1138.33
1000152,1,1113.06
1000153,0,-1
1000154,0,-1
1000155,0,-1
1000156,0,-1
1000157,0,-1
1000158,0,-1
1000159,0,-1
1000160,0,-1
1000163,0,-1
1000164,0,-1
1000165,1,345.778
1000167,0,-1
1000169,1,1179.56
1000170,0,-1
1000171,0,-1
1000172,0,-1
1000173,0,-1
1000174,0,-1
1000176,0,-1
1000177,0,-1
1000178,0,-1
1000179,0,-1
1000180,0,-1
1000184,0,-1
1000185,0,-1
1000186,0,-1
2000001,1,2853.78
2000002,1,3058.56
2000003,0,-1
2000004,0,-1
2000005,0,-1
2000006,1,341.778
2000007,1,1038.61
2000008,1,5476.11
2000009,0,-1
2000010,0,-1
2000011,0,-1
2000012,0,-1
2000013,1,950.889
2000014,1,3004.06
2000015,1,4953.5
2000016,1,1375.11
2000017,1,341.778
2000018,0,-1
2000019,1,683.556
2000020,1,4331.17
2000021,0,-1
2000022,0,-1
2000023,0,-1
2000024,0,-1
2000025,0,-1
2000026,0,-1
2000027,1,1159.67
2000028,0,-1
2000029,1,341.778
2000030,0,-1
2000031,0,-1
2000032,1,341.778
2000033,0,-1
2000034,1,2348.5
2000035,1,4539.94
2000036,0,-1
2000037,1,1468.17
2000038,0,-1
2000039,1,3351.11
2000040,0,-1
2000041,0,-1
2000042,1,3000.06
2000043,1,2159.61
2000044,1,8278
2000045,1,345.778
2000046,0,-1
2000047,0,-1
2000048,0,-1
2000049,0,-1
2000050,1,341.778
2000051,0,-1
2000052,1,1323.22
2000053,0,-1
2000054,0,-1
2000055,1,5570.56
2000056,1,341.778
2000057,0,-1
2000058,0,-1
2000059,0,-1
2000060,1,2954.83
2000061,1,3008.06
2000062,1,3417.61
2000063,1,4352.44
2000064,1,3839.17
2000065,1,934.889
2000066,0,-1
2000067,0,-1
2000068,1,4110.44
2000069,0,-1
2000070,0,-1
2000071,0,-1
2000072,1,2958.83
2000073,0,-1
2000074,0,-1
2000075,1,1300.56
2000076,1,2696.83
2000077,0,-1
2000078,0,-1
2000079,0,-1
2000080,0,-1
2000081,1,4653
2000082,0,-1
2000083,0,-1
2000084,0,-1
2000085,0,-1
2000086,1,8508.06
2000087,1,3835.17
2000088,1,683.556
2000089,0,-1
2000090,1,2059.89
2000091,0,-1
2000092,1,1425.56
2000093,0,-1
2000094,1,2859.11
2000095,0,-1
2000096,1,1033.33
2000097,0,-1
2000098,1,7653
2000099,0,-1
2000100,1,5341.83
2000101,0,-1
2000102,1,345.778
2000103,1,2917.61
2000104,1,4168.94
2000105,0,-1
2000106,0,-1
2000107,0,-1
2000108,1,2873.72
2000109,0,-1
2000110,1,1029.33
2000111,0,-1
2000112,1,396.333
2000113,1,3041.28
2000114,1,3005.39
2000115,0,-1
2000116,0,-1
2000117,1,3530.67
2000118,1,4190.22
2000119,0,-1
2000120,0,-1
2000121,1,4461.5
2000122,1,2562.56
2000123,0,-1
2000124,0,-1
2000125,0,-1
2000126,0,-1
2000127,0,-1
2000128,1,1916.28
2000129,0,-1
2000130,0,-1
2000131,0,-1
2000132,1,521.389
2000133,1,867.056
2000134,0,-1
2000135,0,-1
2000136,1,1787.33
2000137,0,-1
2000138,0,-1
2000139,0,-1
2000140,1,4711.5
2000141,0,-1
2000142,1,2308.56
2000143,0,-1
2000144,1,2079.83
2000145,1,1371.11
2000146,1,1179.56
2000147,0,-1
2000148,0,-1
2000149,0,-1
2000150,0,-1
2000151,1,6293.94
2000152,0,-1
2000153,0,-1
2000154,1,1347.11
2000155,0,-1
2000156,0,-1
2000157,0,-1
2000158,0,-1
2000160,1,1555.89
2000161,0,-1
2000162,0,-1
2000163,1,687.556
2000164,0,-1
2000165,0,-1
2000166,1,1883.06
2000167,0,-1
2000168,1,1009.33
2000169,0,-1
2000170,0,-1
2000171,1,903
2000172,0,-1
2000173,0,-1
2000174,0,-1
2000175,0,-1
2000178,0,-1
2000179,0,-1
2000180,0,-1
2000181,1,341.778
2000183,0,-1
2000185,0,-1
3000001,0,-1
3000002,1,687.556
3000003,0,-1
3000004,1,708.833
3000005,0,-1
3000006,0,-1
3000007,1,4650.33
3000008,0,-1
3000009,1,696.833
3000010,1,4966.83
3000011,0,-1
3000012,0,-1
3000013,0,-1
3000014,0,-1
3000015,0,-1
3000016,0,-1
3000017,0,-1
3000018,1,1675.56
3000019,0,-1
3000020,1,4041.28
3000021,1,1284.61
3000022,1,4458.83
3000023,1,8409.67
3000024,0,-1
3000025,0,-1
3000026,0,-1
3000027,1,345.778
3000028,0,-1
3000029,1,3006.72
3000030,1,687.556
3000031,1,7671.61
3000032,1,7609.11
3000033,1,825.833
3000034,0,-1
3000035,0,-1
3000036,1,6799.28
3000037,1,3611.78
3000038,0,-1
3000039,0,-1
3000040,0,-1
3000041,0,-1
3000042,1,7275.33
3000043,1,687.556
3000044,1,4831.17
3000045,0,-1
3000046,1,2159.61
3000047,0,-1
3000048,1,497.389
3000049,1,9344.5
3000050,0,-1
3000051,1,5159.67
3000052,0,-1
3000053,0,-1
3000054,0,-1
3000055,0,-1
3000056,1,2877.72
3000057,0,-1
3000058,1,2754.06
3000059,1,8280.67
3000060,1,1230.11
3000061,0,-1
3000062,0,-1
3000063,1,6549.28
3000064,0,-1
3000065,1,1638.33
3000066,1,4308.61
3000067,1,5573.22
3000068,1,1849.83
3000069,0,-1
3000070,0,-1
3000071,0,-1
3000072,1,6836.56
3000073,0,-1
3000074,0,-1
3000075,1,7029.33
3000076,0,-1
3000077,0,-1
3000078,1,1771.33
3000079,1,9365.78
3000080,1,1175.56
3000081,0,-1
3000082,1,2566.56
3000083,0,-1
3000084,0,-1
3000085,0,-1
3000086,1,2397.67
3000087,1,5582.5
3000088,1,5606.5
3000089,1,4964.17
3000090,1,7634.39
3000091,0,-1
3000092,0,-1
3000093,1,3988.11
3000094,1,2836.5
3000095,0,-1
3000096,0,-1
3000097,1,691.556
3000098,0,-1
3000099,1,2924.28
3000100,0,-1
3000101,1,2045.28
3000102,1,4442.89
3000103,0,-1
3000104,1,2916.28
3000105,0,-1
3000106,1,5698.22
3000107,0,-1
3000108,0,-1
3000109,1,2433.56
3000110,1,1586.5
3000111,1,1480.11
3000112,1,683.556
3000113,0,-1
3000114,0,-1
3000115,0,-1
3000116,1,1771.33
3000117,0,-1
3000118,0,-1
3000119,1,2920.28
3000120,1,4071.89
3000121,0,-1
3000122,0,-1
3000123,0,-1
3000124,0,-1
3000125,0,-1
3000126,1,3075.89
3000127,1,1029.33
3000128,1,2929.56
3000129,0,-1
3000130,0,-1
3000131,1,1367.06
3000132,0,-1
3000133,1,4218.17
3000134,0,-1
3000135,1,8135.72
3000136,1,2937.56
3000137,0,-1
3000138,0,-1
3000139,1,3004.06
3000140,0,-1
3000141,0,-1
3000142,0,-1
3000143,0,-1
3000144,1,1186.22
3000145,0,-1
3000146,0,-1
3000147,0,-1
3000148,1,1375.11
3000149,0,-1
3000150,0,-1
3000151,1,4543.94
3000153,0,-1
3000154,0,-1
3000155,0,-1
3000156,1,815.222
3000157,0,-1
3000158,1,1071.83
3000159,0,-1
3000160,0,-1
3000161,0,-1
3000163,0,-1
3000164,0,-1
3000166,0,-1
3000168,1,1599.78
3000171,0,-1
3000172,0,-1
3000173,0,-1
3000174,0,-1
3000175,0,-1
3000176,1,341.778
3000177,0,-1
3000178,0,-1
3000179,0,-1
3000184,0,-1
3000186,0,-1
4000001,1,2980.11
4000002,1,6446.89
4000003,1,1364.39
4000004,1,5086.5
4000005,0,-1
4000006,1,4172.94
4000007,0,-1
4000008,0,-1
4000009,1,687.556
4000010,1,7448.22
4000011,1,4444.22
4000012,0,-1
4000013,0,-1
4000014,1,6780.67
4000015,1,691.556
4000016,1,1521.33
4000017,1,1855.11
4000018,1,4506.72
4000019,1,7051.94
4000020,0,-1
4000021,1,6255.39
4000022,1,1375.11
4000023,0,-1
4000024,0,-1
4000025,0,-1
4000026,1,345.778
4000027,1,2727.44
4000028,1,6797.94
4000029,1,2606.44
4000030,1,6526.67
4000031,1,4795.28
4000032,1,2984.11
4000033,0,-1
4000034,0,-1
4000035,1,4127.72
4000036,0,-1
4000037,1,6121.11
4000038,1,6735.44
4000039,1,1375.06
4000040,1,3605.17
4000041,1,833.833
4000042,1,4399
4000043,1,2796.61
4000044,1,5004.06
4000045,1,1054.61
4000046,0,-1
4000047,0,-1
4000048,1,5478.83
4000049,0,-1
4000050,1,5264.72
4000051,0,-1
4000052,0,-1
4000053,0,-1
4000054,0,-1
4000055,1,1856.44
4000056,1,683.556
4000057,1,3335.17
4000058,0,-1
4000059,1,6739.44
4000060,1,1601.17
4000061,1,683.556
4000062,0,-1
4000063,1,1029.33
4000064,1,8345.83
4000065,1,3005.39
4000066,0,-1
4000067,0,-1
4000068,1,5296.61
4000069,1,5279.33
4000070,0,-1
4000071,1,2623.72
4000072,1,964.167
4000073,0,-1
4000074,1,1538.61
4000075,1,6694.22
4000076,1,4637.06
4000077,1,691.556
4000078,0,-1
4000079,0,-1
4000080,1,7824.56
4000081,0,-1
4000082,1,5242.11
4000083,1,2960.17
4000084,0,-1
4000085,1,8429.61
4000086,1,345.778
4000087,0,-1
4000088,1,2073.17
4000089,1,6180.94
4000090,1,5425.61
4000091,0,-1
4000092,0,-1
4000093,1,3782
4000094,1,7453.56
4000095,1,3162.39
4000096,1,2964.17
4000097,0,-1
4000098,0,-1
4000099,1,6389.72
4000100,0,-1
4000101,0,-1
4000102,1,2367.11
4000103,0,-1
4000104,1,747.389
4000105,0,-1
4000106,0,-1
4000107,1,1033.33
4000108,1,5325.89
4000109,1,3928.28
4000110,1,2227.44
4000111,0,-1
4000112,0,-1
4000113,1,2926.94
4000114,0,-1
4000115,0,-1
4000116,0,-1
4000117,1,2180.89
4000118,1,2344.5
4000119,0,-1
4000120,0,-1
4000121,0,-1
4000122,1,739.444
4000123,1,7658.33
4000124,1,2985.44
4000125,0,-1
4000126,0,-1
4000127,1,6594.5
4000128,1,6928.28
4000129,0,-1
4000130,0,-1
4000131,1,7929.61
4000132,1,345.778
4000133,1,4345.83
4000134,0,-1
4000135,1,4863.11
4000136,0,-1
4000137,0,-1
4000138,0,-1
4000139,1,1609.17
4000140,0,-1
4000141,0,-1
4000143,0,-1
4000144,1,1643.67
4000145,0,-1
4000146,1,341.778
4000147,0,-1
4000148,0,-1
4000149,0,-1
4000150,0,-1
4000151,1,1472.11
4000152,0,-1
4000153,0,-1
4000154,0,-1
4000155,0,-1
4000156,1,3448.22
4000157,0,-1
4000158,0,-1
4000159,0,-1
4000160,0,-1
4000161,0,-1
4000162,1,6949.56
4000163,0,-1
4000164,0,-1
4000165,0,-1
4000166,0,-1
4000168,0,-1
4000170,0,-1
4000171,1,687.556
4000172,0,-1
4000173,0,-1
4000176,0,-1
4000180,0,-1
4000181,0,-1
4000184,0,-1
