packet_id,delivered,delay_ms
1,1,341.778
2,1,341.778
3,1,1375.11
4,1,691.556
5,1,1033.33
6,1,1371.11
7,1,1033.33
8,1,2058.67
9,1,1371.11
10,1,687.556
11,1,691.556
12,1,1375.11
13,1,683.556
14,1,687.556
15,1,1025.33
16,1,1021.33
17,1,345.778
18,1,1029.33
19,1,1029.33
20,1,704.889
21,1,2058.67
22,1,345.778
23,1,367.111
24,1,341.778
25,1,1029.33
26,1,1375.11
27,1,683.556
28,1,687.556
29,1,341.778
30,1,1388.44
31,1,345.778
32,1,392.444
33,1,1712.89
34,1,1033.33
35,1,341.778
36,1,708.889
37,1,341.778
38,1,345.778
39,1,683.556
40,1,1017.33
41,1,687.556
42,1,687.556
43,1,1029.33
44,1,1033.33
45,1,1371.11
46,1,351.111
47,1,1675.56
48,1,1033.33
49,1,2679.56
50,1,1029.33
51,1,2345.78
52,1,345.778
53,1,341.778
54,1,1029.33
55,1,2347.11
56,1,687.556
57,0,-1
58,1,1033.33
59,1,363.111
60,1,363.111
61,1,687.556
62,1,1720.89
63,1,687.556
64,1,1029.33
65,1,1013.33
66,1,3033.33
67,0,-1
68,1,3371.11
69,1,345.778
70,1,1029.33
71,1,2404.44
72,0,-1
73,1,687.556
74,1,341.778
75,1,1033.33
76,1,2025.33
77,1,341.778
78,1,691.556
79,1,687.556
80,1,1080
81,1,1029.33
82,1,1033.33
83,1,1359.11
84,1,691.556
85,1,2341.78
86,1,1679.56
87,1,1033.33
88,1,1025.33
89,1,687.556
90,1,345.778
91,1,687.556
92,1,1029.33
93,1,3687.56
94,1,687.556
95,1,345.778
96,1,687.556
97,0,-1
98,1,687.556
99,0,-1
100,1,683.556
101,1,687.556
102,1,1029.33
103,1,687.556
104,0,-1
105,1,1029.33
106,1,1029.33
107,1,341.778
108,1,2021.33
109,1,683.556
110,1,2679.56
111,1,2351.11
112,1,341.778
113,1,1720.89
114,1,1683.56
115,0,-1
116,0,-1
117,0,-1
118,1,1684.89
119,1,1017.33
120,1,1029.33
121,0,-1
122,1,2375.11
123,1,1375.11
124,1,345.778
125,1,1025.33
126,1,345.778
127,1,341.778
128,0,-1
129,1,345.778
130,0,-1
131,0,-1
132,1,1687.56
133,0,-1
134,1,1033.33
135,0,-1
136,0,-1
137,1,345.778
138,0,-1
139,0,-1
140,0,-1
141,1,345.778
142,0,-1
143,1,341.778
144,0,-1
145,0,-1
146,0,-1
147,0,-1
148,1,1025.33
149,1,341.778
150,0,-1
151,0,-1
152,0,-1
153,1,341.778
156,0,-1
157,0,-1
158,0,-1
161,0,-1
162,0,-1
163,0,-1
165,0,-1
166,1,687.556
168,1,687.556
169,0,-1
170,0,-1
172,1,691.556
173,0,-1
174,1,1029.33
175,0,-1
177,0,-1
178,0,-1
179,0,-1
180,0,-1
184,0,-1
1000001,1,687.556
1000002,1,1371.11
1000003,1,687.556
1000004,1,2022.67
1000005,1,683.556
1000006,1,1033.33
1000007,1,683.556
1000008,1,687.556
1000009,1,3038.67
1000010,1,687.556
1000011,1,1029.33
1000012,1,2034.67
1000013,1,341.778
1000014,1,683.556
1000015,1,1029.33
1000016,1,1367.11
1000017,1,341.778
1000018,1,691.556
1000019,1,687.556
1000020,1,1025.33
1000021,1,700.889
1000022,1,1371.11
1000023,1,1033.33
1000024,0,-1
1000025,1,341.778
1000026,1,1716.89
1000027,1,683.556
1000028,1,704.889
1000029,1,341.778
1000030,1,1029.33
1000031,1,687.556
1000032,1,1712.89
1000033,1,691.556
1000034,1,1029.33
1000035,1,1704.89
1000036,1,372.444
1000037,1,691.556
1000038,1,687.556
1000039,1,1029.33
1000040,1,1029.33
1000041,1,1696.89
1000042,1,341.778
